record_id,province,province_code,scope,scope_code,period_type,year,month_start,month_end,period_label,indicator_name,indicator_name_raw,value,unit,yoy_pct,yoy_direction,is_cumulative,is_stock,is_preliminary,includes_financial,source_institution,source_title,source_url,publish_date,extraction_date,confidence,uev_level,notes
MO-CN-202601-02-rev,全国,CN,全国国有及国有控股企业,A1,cumulative,2026,1,2,1-2月,营业总收入,营业总收入,125655.0,亿元,0.2,up,1,0,0,0,财政部资产管理司,2026年1-2月全国国有及国有控股企业经济运行情况,https://zcgls.mof.gov.cn/qiyeyunxingdongtai/202603/t20260331_3986543.htm,2026-03-31,2026-04-02,0.95,1,口径注释:不含国有一级金融企业及所属企业
MO-CN-202601-02-profit,全国,CN,全国国有及国有控股企业,A1,cumulative,2026,1,2,1-2月,利润总额,利润总额,6266.2,亿元,-2.0,down,1,0,0,0,财政部资产管理司,2026年1-2月全国国有及国有控股企业经济运行情况,https://zcgls.mof.gov.cn/qiyeyunxingdongtai/202603/t20260331_3986543.htm,2026-03-31,2026-04-02,0.95,1,
MO-CN-202601-02-tax,全国,CN,全国国有及国有控股企业,A1,cumulative,2026,1,2,1-2月,应交税费,应交税费,10932.5,亿元,-2.3,down,1,0,0,0,财政部资产管理司,2026年1-2月全国国有及国有控股企业经济运行情况,https://zcgls.mof.gov.cn/qiyeyunxingdongtai/202603/t20260331_3986543.htm,2026-03-31,2026-04-02,0.95,1,
MO-CN-202602-dar,全国,CN,全国国有及国有控股企业,A1,single_month,2026,2,2,2月末,资产负债率,资产负债率,65.4,%,0.5,up,0,1,0,0,财政部资产管理司,2026年1-2月全国国有及国有控股企业经济运行情况,https://zcgls.mof.gov.cn/qiyeyunxingdongtai/202603/t20260331_3986543.htm,2026-03-31,2026-04-02,0.95,1,同比上升0.5个百分点(非百分比)
MO-CN-202501-12-rev,全国,CN,全国国有及国有控股企业,A1,annual,2025,1,12,1-12月,营业总收入,营业总收入,848886.5,亿元,0.5,up,1,0,0,0,财政部资产管理司,2025年1-12月全国国有及国有控股企业经济运行情况,https://zcgls.mof.gov.cn/qiyeyunxingdongtai/202601/t20260123_3982502.htm,2026-01-30,2026-04-02,0.95,1,口径注释:不含国有一级金融企业
MO-CN-202501-12-profit,全国,CN,全国国有及国有控股企业,A1,annual,2025,1,12,1-12月,利润总额,利润总额,40380.5,亿元,-6.3,down,1,0,0,0,财政部资产管理司,2025年1-12月全国国有及国有控股企业经济运行情况,https://zcgls.mof.gov.cn/qiyeyunxingdongtai/202601/t20260123_3982502.htm,2026-01-30,2026-04-02,0.95,1,
MO-CN-202501-12-tax,全国,CN,全国国有及国有控股企业,A1,annual,2025,1,12,1-12月,应交税费,应交税费,58782.9,亿元,0.4,up,1,0,0,0,财政部资产管理司,2025年1-12月全国国有及国有控股企业经济运行情况,https://zcgls.mof.gov.cn/qiyeyunxingdongtai/202601/t20260123_3982502.htm,2026-01-30,2026-04-02,0.95,1,
MO-CN-202512-dar,全国,CN,全国国有及国有控股企业,A1,single_month,2025,12,12,12月末,资产负债率,资产负债率,65.1,%,0.4,up,0,1,0,0,财政部资产管理司,2025年1-12月全国国有及国有控股企业经济运行情况,https://zcgls.mof.gov.cn/qiyeyunxingdongtai/202601/t20260123_3982502.htm,2026-01-30,2026-04-02,0.95,1,
MO-ZJ-202601-01-rev,浙江,ZJ,省属企业,B1,single_month,2026,1,1,1月份,营业总收入,营业收入,1330.8,亿元,13.0,up,0,0,1,0,浙江省国资委,2026年1-2月省属企业经营情况,https://gzw.zj.gov.cn/col/col1229430932/art/2026/art_b126dbbfd174410e94c13b41b3e189b4.html,2026-03-18,2026-04-02,0.90,1,财务快报;原文用"营业收入"已标准化为"营业总收入"
MO-ZJ-202601-01-profit,浙江,ZJ,省属企业,B1,single_month,2026,1,1,1月份,利润总额,利润总额,41.7,亿元,30.2,up,0,0,1,0,浙江省国资委,2026年1-2月省属企业经营情况,https://gzw.zj.gov.cn/col/col1229430932/art/2026/art_b126dbbfd174410e94c13b41b3e189b4.html,2026-03-18,2026-04-02,0.90,1,财务快报
MO-ZJ-202601-01-asset,浙江,ZJ,省属企业,B1,single_month,2026,1,1,1月底,资产总额,资产总额,27431.6,亿元,10.1,up,0,1,1,0,浙江省国资委,2026年1-2月省属企业经营情况,https://gzw.zj.gov.cn/col/col1229430932/art/2026/art_b126dbbfd174410e94c13b41b3e189b4.html,2026-03-18,2026-04-02,0.90,1,财务快报;时点数据
MO-ZJ-202601-02-rev,浙江,ZJ,省属企业,B1,cumulative,2026,1,2,1-2月份,营业总收入,营业收入,2399.1,亿元,2.2,up,1,0,1,0,浙江省国资委,2026年1-2月省属企业经营情况,https://gzw.zj.gov.cn/col/col1229430932/art/2026/art_b126dbbfd174410e94c13b41b3e189b4.html,2026-03-18,2026-04-02,0.90,1,财务快报;原文用"营业收入"
MO-ZJ-202601-02-profit,浙江,ZJ,省属企业,B1,cumulative,2026,1,2,1-2月份,利润总额,利润总额,65.9,亿元,,,1,0,1,0,浙江省国资委,2026年1-2月省属企业经营情况,https://gzw.zj.gov.cn/col/col1229430932/art/2026/art_b126dbbfd174410e94c13b41b3e189b4.html,2026-03-18,2026-04-02,0.90,1,财务快报;同比数据为"剔除政策性因素后同比增长8.6%"——标注yoy为调整后值需谨慎使用
MO-ZJ-202601-02-profit-yoy,浙江,ZJ,省属企业,B1,cumulative,2026,1,2,1-2月份,利润总额(剔除政策性因素后同比),剔除政策性因素后同比增长,,%, 8.6,up,1,0,1,0,浙江省国资委,2026年1-2月省属企业经营情况,https://gzw.zj.gov.cn/col/col1229430932/art/2026/art_b126dbbfd174410e94c13b41b3e189b4.html,2026-03-18,2026-04-02,0.85,2,注意:此为调整后同比而非直接同比;原始同比未披露
MO-ZJ-202601-02-asset,浙江,ZJ,省属企业,B1,cumulative,2026,1,2,2月底,资产总额,资产总额,27645.8,亿元,9.7,up,0,1,1,0,浙江省国资委,2026年1-2月省属企业经营情况,https://gzw.zj.gov.cn/col/col1229430932/art/2026/art_b126dbbfd174410e94c13b41b3e189b4.html,2026-03-18,2026-04-02,0.90,1,财务快报;时点数据
